,food_name,review,url,location,reviewer_score,average_score
0,Katinat Saigon Kafe - Phan Bội Châu,Mình mới đi hôm qua lun. Ra phố đi bộ đông người thấy ớn quá nên ghé qua bên chi nhánh này thử xem sao ai ngờ vắng lắm. Trong lúc ngồi chờ nước tranh thủ chụp vài tấm hình chứ vẫn chưa cho ngồi lại đâu ...,https://www.foody.vn/ho-chi-minh/katinat-saigon-kafe-phan-boi-chau/binh-luan-13862483,Quận 1,9.0,8.2
1,Sky Garden - Cicilia,"Rất vừa miệng và nhìn rất hấp dẫn, mình order về cho nhà mình ai cũng khen ngon cả. dịch này ngại ra đường order đồ ăn về mà vẫn còn nóng hổi là mình cực kì thích . sẽ ủng hộ tiếp",https://www.foody.vn/ho-chi-minh/sky-garden-cicilia/binh-luan-12869573,Quận 1,8.0,7.9
2,Hoàng Yến Buffet - Vincom Center,"Dù đã đặt trước, nhưng chắc do mình đi 1 mình, nên xếp mình vô góc cuối cùng nhất, và bảo tất cả đều đã book trước. Ko có nhân viên nào nhắc món. Khi ra tới lấy tôm hấp, cua rang me, hay hào sữa, đều ...",https://www.foody.vn/ho-chi-minh/hoang-yen-buffet-vincom-center/binh-luan-14267673,Quận 1,1.2,6.6
3,"The Olive - Ăn Vặt, Burger, Steak",Buổi trưa lựa đi lựa lại không biết ăn gì thì thấy quán đang được khuyến mãi bèn đặt hẳn hai cái burger để ăn. Một cái là Signature cái còn lại là Single gì đó. Vị beefsteak rất đậm ăn có vị ngọt và ...,https://www.foody.vn/ho-chi-minh/the-olive-an-vat-burger-steak/binh-luan-15667670,Quận 1,9.8,8.7
4,Phạm Nghiêm Trai - Tea Lounge & Coffee,"Nằm ở mặt tiền đường NgTrãi là quán trà theo phong cách***Giáo siêu to khổng lồ này. Nếu ko để ý chắc sẽ tưởng đây là 1 ngôi chùa nào đó mới xây. Vì ở tầng trệt là cửa hàng bán đồ pháp phục, tràng hạt... Đi ...",https://www.foody.vn/ho-chi-minh/pham-nghiem-trai-tea-lounge-coffee/binh-luan-12439980,Quận 1,8.0,9.0
5,Mr Noodle - Mì Trộn & Cơm Trộn - Nguyễn Thị Minh Khai,Miến bò trộn sốt Hàn Quốc và không có miếng bò nào hết....                     ,https://www.foody.vn/ho-chi-minh/mr-noodle-mi-tron-com-tron-nguyen-thi-minh-khai/binh-luan-15667179,Quận 1,4.2,
6,Dnyonya - Halal Food,"Bữa mấy đứa bạn người đạo Hồi sang chơi nên dắt sang quán này, hình như khá nổi ở Malay hay sao á mà con bạn nó nhìn là thích liền, đồ ăn ngon vừa miệng, ABC ngọt quá thành ra mất ngon :( quán trang trí ...",https://www.foody.vn/ho-chi-minh/d-nyonya-halal-food/binh-luan-486111,Quận 1,7.2,6.9
7,Bili Coffee & Tea - Trà Sữa Trà Trắng,"Quán ở gần sát nhà mình, đi uống cũng khá lâu rồi nay ngồi lục lại review cho mọi người Quán nhìn khá to, có khu chỗ ngồi bên ngoài và cả bên trong khu máy lạnh. Menu nước cũng đa dạng mà giá lại khá ...",https://www.foody.vn/ho-chi-minh/bili-coffee-tea/binh-luan-7227105,Quận 1,7.8,8.0
8,Legendary Chocolatier,"Socola ở đây thì khá ngon. Nhưng giá có phần hơi cao so với mặt bằng. Điểm mình không hài lòng nhất ở đây là chất lượng phục vụ. Shop cho mình chọn nhân theo yêu cầu, mình có chọn rồi nhưng shop lại giao ...",https://www.foody.vn/ho-chi-minh/legendary-chocolatier/binh-luan-15664912,Quận 1,3.2,7.2
9,YUM - Buffet Lẩu Nướng Thái Lan,"Its a lovely find in the heart of Saigon City. Set amongst lush green, peaceful gardens nestles a delicious, fresh buffet of everything your heart could desire from sushi to Thai stir fries to fresh meat ...",https://www.foody.vn/ho-chi-minh/yum-buffet-lau-nuong-thai-lan/binh-luan-1478753,Quận 1,8.0,7.8
10,Ăn Uống 79 - Món Ngon Nha Trang,"Lặn tuốt con hẻm 39 Mạc Thị Bưởi để tìm được quán Ăn Uống Nha Trang 79 ngon rẻ. Quán nằm ở cuối hẻm nha, đoạn đến quán khá thú vị, lần đầu được dắt đi bộ ...",https://www.foody.vn/ho-chi-minh/an-uong-79-mon-ngon-nha-trang/binh-luan-10017394,Quận 1,8.6,8.6
11,Bún Bò Gốc Huế O Ròm,"Mình mua về nên dặn rất kĩ. Tới khi nhận được chán luôn. Bán mà không cho hành?! Hành lá, hành tây, rau răm gì không có 1 miếng!? Mua trong tgian đang giảm giá nên còn 44k + mình order thêm 1 chả huế, ...",https://www.foody.vn/ho-chi-minh/bun-bo-hue-o-rom/binh-luan-3755962,Quận 1,1.0,7.6
12,Select Coffee - Nguyễn Thị Nghĩa,"SELECT COFFEE 🏠26 Nguyễn Thị Nghĩa Quận 1 BẠN ĐÃ BAO GIỜ ĐẾN QUÁN CÀ PHÊ CÙNG CONCEPT VỚI ""NHÀ"" NHƯ VẬY CHƯA 😘 Chời mẹ ơi lần đầu bước vào quán cứ như lạc vào ""Nhà"" vậy đó. Tuy quán có cái mặt tiền ...",https://www.foody.vn/ho-chi-minh/select-coffee-nguyen-thi-nghia/binh-luan-3833419,Quận 1,7.0,7.0
13,Bánh Mì Chảo - 189 Đinh Tiên Hoàng,"Chuyển địa chỉ nên lâu rồi mới ghé, ăn cũng ngon nhưng mà bước xuống nhà vệ sinh đi ngang cái bếp là dội ngược quay lên gấp. Chất lượng vệ sinh kiểu này ăn chỉ có rước bệnh vô người, bán giá mắc mà dơ ...",https://www.foody.vn/ho-chi-minh/banh-mi-chao-176/binh-luan-10267545,Quận 1,3.0,7.2
14,Crystal Jade Palace - Lotte Legend Saigon Hotel,Pass voucher - 0939413166 Mình cần passvoucher loai 50% Ai cần liên hệ mình Dũng: 0939413166 (có Viber/Zalo),https://www.foody.vn/ho-chi-minh/crystal-jade-palace-legend-lounge-sai-gon/binh-luan-15663389,Quận 1,10.0,9.4
15,Au Lac Do Brazil - Phùng Khắc Khoan,"Pass voucher 10 trieu Mình cần pass voucher: sử dụng tại The Dome, Dynasty House, Jumbo Seafood, Ac Lac Do Brazil, Marina Club Vung Tau Ai cần liên hệ mình Dũng: 0939413166 (có Viber/Zalo)",https://www.foody.vn/ho-chi-minh/au-lac-do-brazil-phung-khac-khoan/binh-luan-15663385,Quận 1,10.0,10.0
16,Dynasty House - Phùng Khắc Khoan,"Pass voucher 10 trieu Mình cần pass voucher: sử dụng tại The Dome, Dynasty House, Jumbo Seafood, Ac Lac Do Brazil, Marina Club Vung Tau Ai cần liên hệ mình Dũng: 0939413166 (có Viber/Zalo)",https://www.foody.vn/ho-chi-minh/dynasty-house-phung-khac-khoan/binh-luan-15663382,Quận 1,10.0,9.9
17,The Dome Dining & Drinks,"Pass voucher 10 trieu Mình cần pass voucher: sử dụng tại The Dome, Dynasty House, Jumbo Seafood, Ac Lac Do Brazil, Marina Club Vung Tau Ai cần liên hệ mình Dũng: 0939413166 (có Viber/Zalo)",https://www.foody.vn/ho-chi-minh/the-dome-dining-drinks/binh-luan-15663375,Quận 1,10.0,9.9
18,Jumbo Seafood,"Pass voucher 10 trieu Mình cần pass voucher: sử dụng tại The Dome, Dynasty House, Jumbo Seafood, Ac Lac Do Brazil, Marina Club Vung Tau Ai cần liên hệ mình Dũng: 0939413166 (có Viber/Zalo)",https://www.foody.vn/ho-chi-minh/jumbo-seafood/binh-luan-15663373,Quận 1,10.0,9.8
19,Dynasty House - HongKong Dimsum & Hotpot,"Pass voucher 10 trieu Mình cần pass voucher: sử dụng tại The Dome, Dynasty House, Jumbo Seafood, Ac Lac Do Brazil, Marina Club Vung Tau Ai cần liên hệ mình Dũng: 0939413166 (có Viber/Zalo)",https://www.foody.vn/ho-chi-minh/dynasty-house-hongkong-dimsum-hotpot/binh-luan-15663369,Quận 1,10.0,9.7
20,The LOG Restaurant,"Went here for a birthday, the experience given is 1-star because I can't give it zero stars for a ""supposedly"" 5-star restaurant. Why? Let me list the issues: 1. We booked a reservation, but the table ...",https://www.foody.vn/ho-chi-minh/the-log-restaurant/binh-luan-12686610,Quận 1,1.8,7.9
21,Cơm Gà Hồng Xương - Nguyễn Trãi,"Quán làm ăn rất thiếu trung thực. Tôi order 1 phần cơm gà luộc, 1 phần cơm gà xá xíu. Mỗi phần gần 70k. Cơm gà luộc đếm đc 5 miếng mà toàn da và xương như hình. Cơm gà xá xíu thì toàn mỡ trong khi mìn ...",https://www.foody.vn/ho-chi-minh/com-ga-hong-xuong-nguyen-trai/binh-luan-15661641,Quận 1,1.0,6.3
22,Rooftop Grand Lounge,"Mình đi caphe và ăn sáng ở tầng Rooftop Grand Lounge. Ưu điểm: View sông SG buổi sáng đẹp, nhân viên thân thiện. Nhược điểm: Mình gọi 1 phần “ Lương Nghệ An” lúc giá Menu là 295.000 và 1 set trà cúc.Nhưng ...",https://www.foody.vn/ho-chi-minh/grand-cafe-grand-hotel-saigon/binh-luan-12478414,Quận 1,4.4,7.6
23,Mountain Retreat - Vietnamese Cuisine - Lê Lợi,"Các món ăn thuần Việt, nấu ngon vừa miệng, tuy ko có món nào quá lạ hay đặc biệt, hầu như là những món truyền thống được làm tinh xảo hơn chút ít. Bàn ghế chén dĩa đều nhất quán phong cách quê Việt Ban ...",https://www.foody.vn/ho-chi-minh/mountain-retreat-le-loi/binh-luan-12697921,Quận 1,7.8,7.6
24,Level 9 Restaurant - Liberty Saigon Parkview,"Lâu rồi mới quay lại ăn buffet thì thấy các món ăn cũng bình thường, quầy đồ nướng thì ít châm thêm. Không biết phải do mình mua vé theo deal không mà nhà hàng không thấy châm đồ nướng, tôm, sò vẹo thịt ...",https://www.foody.vn/ho-chi-minh/level-9-restaurant-khach-san-que-huong-4/binh-luan-11005404,Quận 1,3.0,7.2
25,The Refinery - Ẩm Thực Pháp,"This is my first time tryi French food with bf, my bf showed me to this place. Great French restaurant, awsome place, staff and food. Full price charged for quality service, very fresh and good food. ...",https://www.foody.vn/ho-chi-minh/the-refinery/binh-luan-3849232,Quận 1,8.8,7.9
